model,case,perturbed_variable,relative_change,x_0,E_0,tau_0,u_0,status,reached_horizon,time_end,terminal_distance,admissible_path
linear,stable,none,0.0,0.06275836888160757,0.5,0.2904438765066623,0.538928452122044,stable_path,True,14.398656106774524,9.999999999001218e-08,True
linear,x_minus,x_0,-0.01,0.0621307851927915,0.5,0.2904438765066623,0.538928452122044,tau_upper_boundary,False,6.759729443520773,0.7282670422968878,True
linear,x_plus,x_0,0.01,0.06338595257042365,0.5,0.2904438765066623,0.538928452122044,tau_lower_boundary,False,4.886030450647211,0.44564152991606887,True
linear,u_minus,u_0,-0.01,0.06275836888160757,0.5,0.28466404336417966,0.5335391676008235,tau_lower_boundary,False,3.5600280864597673,0.46590998640751025,True
linear,u_plus,u_0,0.01,0.06275836888160757,0.5,0.2962817984244462,0.5443177366432644,tau_upper_boundary,False,5.433727079333329,0.7317755211868785,True
nonlinear,stable,none,0.0,0.08859836003249995,0.4999999999999999,0.32576977113654326,0.570762447202462,stable_path,True,9.042887967953906,9.99999999617357e-08,True
nonlinear,x_minus,x_0,-0.01,0.08771237643217494,0.4999999999999999,0.32576977113654326,0.570762447202462,tau_upper_boundary,False,4.326827275957925,0.8019657308846172,True
nonlinear,x_plus,x_0,0.01,0.08948434363282495,0.4999999999999999,0.32576977113654326,0.570762447202462,tau_lower_boundary,False,3.6931914824076006,0.5447203425676985,True
nonlinear,u_minus,u_0,-0.01,0.08859836003249995,0.4999999999999999,0.319286952690926,0.5650548227304374,tau_lower_boundary,False,2.5526470540170183,0.5503455758260423,True
nonlinear,u_plus,u_0,0.01,0.08859836003249995,0.4999999999999999,0.3323177435363879,0.5764700716744867,tau_upper_boundary,False,3.1681789677516186,0.7944641169095332,True
