Pbar,mNL,n_points,point_number,E_star,x_star,tau_star,F_residual
224.0,0.059,3,1,23.857614915562998,0.11713935032983962,0.06944038830184873,4.163336342344337e-17
224.0,0.059,3,2,32.3388566329117,0.12425425956831286,0.046691739284862956,5.551115123125783e-17
224.0,0.059,3,3,39.18968273750994,0.12803663657358513,0.0364301610280335,2.7755575615628914e-17
231.0,0.0585,3,1,20.251974828789603,0.11257418618142019,0.08640652601519298,0.0
231.0,0.0585,3,2,38.64249604028213,0.12772685671134623,0.03722278223333613,-5.551115123125783e-17
231.0,0.0585,3,3,40.64007655870837,0.12864881317211377,0.03488889397521029,2.7755575615628914e-17
232.0,0.0585,3,1,20.621150770710486,0.11309334177840873,0.0843837618585636,-1.3877787807814457e-17
232.0,0.0585,3,2,33.91777475822681,0.12518502325639544,0.04404861652495446,-2.7755575615628914e-17
232.0,0.0585,3,3,45.70491784825996,0.13067514589053264,0.030024851211386944,-5.551115123125783e-17
233.0,0.0585,3,1,21.060771101553957,0.11369192776271254,0.08208125261613461,-1.3877787807814457e-17
233.0,0.0585,3,2,31.57141121968303,0.12368625752548086,0.048342550538667206,-4.163336342344337e-17
233.0,0.0585,3,3,48.321567448077296,0.1315789795207126,0.027972979837034177,-5.551115123125783e-17
234.0,0.0585,3,1,21.614940682999496,0.11441771066914062,0.07933219035026194,1.3877787807814457e-17
234.0,0.0585,3,2,29.63376306073624,0.12229864650678231,0.052496035987120805,-2.7755575615628914e-17
234.0,0.0585,3,3,50.415559000255996,0.13224446037658735,0.026508629336675114,-8.326672684688674e-17
235.0,0.0585,3,1,22.402371158882836,0.11539756044896332,0.07569507235591476,-2.7755575615628914e-17
235.0,0.0585,3,2,27.732685329223358,0.12077968341486094,0.05723891408512829,-1.3877787807814457e-17
235.0,0.0585,3,3,52.240321993660075,0.13278722513374594,0.02534345457440802,-8.326672684688674e-17
239.0,0.058,3,1,18.489812667005882,0.10977356387800279,0.09773169285103098,2.7755575615628914e-17
239.0,0.058,3,2,37.658904388569994,0.1271913591513094,0.03861305569443895,2.7755575615628914e-17
239.0,0.058,3,3,48.235469652075885,0.13150852748603944,0.02813030964585825,2.7755575615628914e-17
240.0,0.058,3,1,18.674569182649822,0.11007787365238086,0.09646736153457619,0.0
240.0,0.058,3,2,35.4796128783397,0.1260350681393698,0.041701992370555455,2.7755575615628914e-17
240.0,0.058,3,3,50.9420833263155,0.13236417227293365,0.02624938816699668,2.7755575615628914e-17
241.0,0.058,3,1,18.87327279453309,0.11039973109598002,0.09513908120453651,1.3877787807814457e-17
241.0,0.058,3,2,33.861451737741966,0.12509539203593797,0.04429979474706192,-2.7755575615628914e-17
241.0,0.058,3,3,53.07420394339973,0.1329856521383379,0.024924019959596342,-5.551115123125783e-17
242.0,0.058,3,1,19.088769285123373,0.11074260123746354,0.09373421269092133,0.0
242.0,0.058,3,2,32.51087822622394,0.12425075355069809,0.04670184102853442,0.0
242.0,0.058,3,3,54.922524888750544,0.1334910792160186,0.023871460163672694,-2.7755575615628914e-17
243.0,0.058,3,1,19.324951400502922,0.11111119584216002,0.09223559653522126,1.3877787807814457e-17
243.0,0.058,3,2,31.316919606691254,0.12345295175221571,0.0490289270408188,0.0
243.0,0.058,3,3,56.59412261711765,0.13392394254779058,0.02298806668210256,0.0
244.0,0.058,3,1,19.58737787178658,0.11151220139242753,0.0906189215201097,-2.7755575615628914e-17
244.0,0.058,3,2,30.22044091328539,0.1226735410730272,0.05135700389444209,-4.163336342344337e-17
244.0,0.058,3,3,58.142569862865734,0.13430600109797025,0.022222193985559337,-8.326672684688674e-17
245.0,0.058,3,1,19.884454201700777,0.11195566230942616,0.08884772936147467,0.0
245.0,0.058,3,2,29.181717886430672,0.12188975389783542,0.05375260718803989,-1.3877787807814457e-17
245.0,0.058,3,3,59.59918191783892,0.13464997794331604,0.021543759215151802,-5.551115123125783e-17
246.0,0.0575,3,1,17.04640098923879,0.10711621714964635,0.1091220909928346,-4.163336342344337e-17
246.0,0.0575,3,2,40.907970883357535,0.12867060684675152,0.03483463846401187,-2.7755575615628914e-17
246.0,0.0575,3,3,50.5580655055245,0.13220679644008002,0.02659045562228715,-5.551115123125783e-17
246.0,0.058,3,1,20.22995529964561,0.11245792395832666,0.08686279697120926,1.3877787807814457e-17
246.0,0.058,3,2,28.166812270009437,0.12107704927463447,0.05629426071605516,0.0
246.0,0.058,3,3,60.98411869862445,0.1349640685566063,0.020933456210079797,-2.7755575615628914e-17
247.0,0.0575,3,1,17.152247935905553,0.10731613765155684,0.10824332062538654,-1.3877787807814457e-17
247.0,0.0575,3,2,38.681790487930805,0.12764537363890638,0.03743268662236123,0.0
247.0,0.0575,3,3,53.39249397891099,0.13303577333617425,0.024818627537649404,0.0
247.0,0.058,3,1,20.649395009457216,0.1130490310425069,0.08455547277519876,-2.7755575615628914e-17
247.0,0.058,3,2,27.13633879529502,0.12019974027137807,0.05910385425419544,1.3877787807814457e-17
247.0,0.058,3,3,62.311248234365436,0.13525391505568896,0.0203780414023746,2.7755575615628914e-17
248.0,0.0575,3,1,17.261957878212552,0.10752127189689192,0.1073453256478669,-1.3877787807814457e-17
248.0,0.0575,3,2,37.09980130860082,0.12685368910492836,0.03950282804874274,-2.7755575615628914e-17
248.0,0.0575,3,3,55.57943203355859,0.13362598448175103,0.023594357135390633,0.0
248.0,0.058,3,1,21.201306318151953,0.11379732563637168,0.08167912890541047,1.3877787807814457e-17
248.0,0.058,3,2,26.0217468034901,0.11918540647665045,0.06243754957474205,-1.3877787807814457e-17
248.0,0.058,3,3,63.590584834998126,0.135523595669907,0.019867975607734227,-2.7755575615628914e-17
249.0,0.0575,3,1,17.3759087212011,0.10773212605363948,0.10642618955591143,-1.3877787807814457e-17
249.0,0.0575,3,2,35.81833471625102,0.12616908128844545,0.041337898395639686,-8.326672684688674e-17
249.0,0.0575,3,3,57.46216704449504,0.13410339556269943,0.02262672012938324,-1.3877787807814457e-16
249.0,0.058,3,1,22.113874443164395,0.11496642468086855,0.0772848969632943,0.0
249.0,0.058,3,2,24.587342583005984,0.11776737095099367,0.0672513425411278,0.0
249.0,0.058,3,3,64.82963366626028,0.13577617029317354,0.019396126165819073,-5.551115123125783e-17
250.0,0.0575,3,1,17.494539402118807,0.10794928583691932,0.10548369755158386,1.3877787807814457e-17
250.0,0.0575,3,2,34.718509810969486,0.1255474549754693,0.04304023716806916,0.0
250.0,0.0575,3,3,59.159137658499674,0.13451151597835023,0.02181558675653371,-8.326672684688674e-17
251.0,0.0575,3,1,17.618364330204287,0.10817343507781062,0.10451526710801909,1.3877787807814457e-17
251.0,0.0575,3,2,33.74214905650793,0.12496691684424527,0.044661072835738024,0.0
251.0,0.0575,3,3,60.72800371939816,0.1348715551227223,0.021112306098354516,-8.326672684688674e-17
252.0,0.0575,3,1,17.747992487860657,0.1084053802323527,0.10351785636866212,1.3877787807814457e-17
252.0,0.0575,3,2,32.8554525749012,0.12441443495884225,0.04623139778378645,2.7755575615628914e-17
252.0,0.0575,3,3,62.20195287182198,0.13519573838185847,0.02048892272939454,8.326672684688674e-17
253.0,0.057,3,1,15.942859744650672,0.10480256849502056,0.11955043018480652,5.551115123125783e-17
253.0,0.057,3,2,44.140500835200086,0.1299556225253238,0.031710216849811845,2.7755575615628914e-17
253.0,0.057,3,3,52.54359981675811,0.13275576432827826,0.025410277806042113,8.326672684688674e-17
253.0,0.0575,3,1,17.88415316350131,0.10864608332553118,0.102487841085464,-1.3877787807814457e-17
253.0,0.0575,3,2,32.0365345411733,0.12388124250846437,0.04777262387703272,-1.3877787807814457e-17
253.0,0.0575,3,3,63.60213843320982,0.135491870450455,0.019927644213248524,-8.326672684688674e-17
254.0,0.057,3,1,16.01174748448357,0.10494793430858335,0.11888121229898026,1.3877787807814457e-17
254.0,0.057,3,2,41.71837011244769,0.12897299404642829,0.03408620014208627,0.0
254.0,0.057,3,3,55.61280762681764,0.1335966842902561,0.023654403859906387,-2.7755575615628914e-17
254.0,0.0575,3,1,18.02773134916594,0.10889670716443017,0.10142084581534734,1.3877787807814457e-17
254.0,0.0575,3,2,31.270056181232178,0.12336083576783702,0.0493012609716194,2.7755575615628914e-17
254.0,0.0575,3,3,64.94301099786647,0.13576529215825392,0.019416331392930062,8.326672684688674e-17
255.0,0.057,3,1,16.082038166707147,0.10509524052122383,0.11820497754110512,4.163336342344337e-17
255.0,0.057,3,2,40.0866914024672,0.12825449567912164,0.03587784267668872,5.551115123125783e-17
255.0,0.057,3,3,57.890705070554105,0.1341715295973909,0.022490275189577965,8.326672684688674e-17
255.0,0.0575,3,1,18.17981761893903,0.10915867889825664,0.10031150674681766,-2.7755575615628914e-17
255.0,0.0575,3,2,30.54454185773676,0.12284794339670053,0.0508313797160244,-1.3877787807814457e-17
255.0,0.0575,3,3,66.23495247224453,0.13601984761045635,0.018946272761772902,0.0
256.0,0.057,3,1,16.15381375492684,0.10524460647667801,0.11752125663034742,1.3877787807814457e-17
256.0,0.057,3,2,38.794543912307155,0.1276492311118357,0.03742273627461189,0.0
256.0,0.057,3,3,59.82812783145245,0.13463107713607478,0.02158076470936577,0.0
256.0,0.0575,3,1,18.341780414695947,0.10943378191105828,0.0991531289927371,4.163336342344337e-17
256.0,0.0575,3,2,29.85086947901838,0.12233790658377253,0.05237616750350699,2.7755575615628914e-17
256.0,0.0575,3,3,67.48571337986132,0.13625841215097673,0.018510971216763518,5.551115123125783e-17
257.0,0.057,3,1,16.227163709677512,0.10539616201365648,0.1168295398833039,-5.551115123125783e-17
257.0,0.057,3,2,37.702822782326905,0.12711048166243094,0.03882524764464931,-2.7755575615628914e-17
257.0,0.057,3,3,61.56408819305511,0.1350219156707331,0.020822010918931835,-8.326672684688674e-17
257.0,0.0575,3,1,18.51537434685428,0.10972429315991561,0.09793717468654779,1.3877787807814457e-17
257.0,0.0575,3,2,29.18131769433431,0.1218262313554786,0.05394915256324806,0.0
257.0,0.0575,3,3,68.70125736487849,0.1364832027154548,0.018105431869771964,-8.326672684688674e-17
258.0,0.057,3,1,16.302185966943256,0.1055500488192781,0.11612927200693174,0.0
258.0,0.057,3,2,36.74660297462811,0.12661633492471974,0.04013433056893613,0.0
258.0,0.057,3,3,63.163410171599864,0.13536581584380528,0.020165610923457526,-5.551115123125783e-17
258.0,0.0575,3,1,18.702909075326737,0.11003319679589325,0.09665246720837029,-1.3877787807814457e-17
258.0,0.0575,3,2,28.528871494400256,0.12130818173400153,0.05556544252148924,-1.3877787807814457e-17
258.0,0.0575,3,3,69.88628671021354,0.1366959710521933,0.01772571925893094,-2.7755575615628914e-17
259.0,0.057,3,1,16.378988085287514,0.10570642201343751,0.11541984600519868,0.0
259.0,0.057,3,2,35.88934078406037,0.1261543735338351,0.04137777920994843,0.0
