varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
eta,0.915,False,nonlinear,False,0,,,0.45,0.01,0.915,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9225,False,linear,False,0,,,0.45,0.01,0.9225,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9225,False,nonlinear,False,0,,,0.45,0.01,0.9225,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9299999999999999,False,linear,False,0,,,0.45,0.01,0.9299999999999999,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9299999999999999,False,nonlinear,False,0,,,0.45,0.01,0.9299999999999999,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9375,False,linear,False,0,,,0.45,0.01,0.9375,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9375,False,nonlinear,False,0,,,0.45,0.01,0.9375,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9450000000000001,False,linear,False,0,,,0.45,0.01,0.9450000000000001,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9450000000000001,False,nonlinear,False,0,,,0.45,0.01,0.9450000000000001,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9525,False,linear,False,0,,,0.45,0.01,0.9525,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
eta,0.9525,False,nonlinear,False,0,,,0.45,0.01,0.9525,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,no_root
