Pbar,m_min,m_max,n_combinations
419.0,0.048,0.055,15
420.0,0.048,0.055,15
421.0,0.048,0.055,15
422.0,0.048,0.055,15
423.0,0.048,0.055,15
424.0,0.0475,0.0545,15
425.0,0.0475,0.0545,15
426.0,0.0475,0.0545,15
427.0,0.0475,0.0545,15
428.0,0.0475,0.0545,15
429.0,0.0475,0.0545,15
430.0,0.0475,0.0545,15
431.0,0.0475,0.0545,15
432.0,0.0475,0.0545,15
433.0,0.0475,0.0545,15
434.0,0.0475,0.0545,15
435.0,0.047,0.0545,16
436.0,0.047,0.0545,16
437.0,0.047,0.0545,16
438.0,0.047,0.0545,16
439.0,0.047,0.0545,16
440.0,0.047,0.0545,16
441.0,0.047,0.0545,16
442.0,0.047,0.0545,16
443.0,0.047,0.0545,16
444.0,0.047,0.0545,16
445.0,0.047,0.0545,16
446.0,0.047,0.0545,16
447.0,0.047,0.0545,16
448.0,0.0465,0.0545,17
449.0,0.0465,0.0545,17
450.0,0.0465,0.0545,17
451.0,0.0465,0.0545,17
452.0,0.0465,0.0545,17
453.0,0.0465,0.0545,17
454.0,0.0465,0.0545,17
455.0,0.0465,0.0545,17
456.0,0.0465,0.0545,17
457.0,0.0465,0.0545,17
458.0,0.0465,0.0545,17
459.0,0.0465,0.0545,17
460.0,0.046,0.0545,18
461.0,0.046,0.0545,18
462.0,0.046,0.0545,18
463.0,0.046,0.0545,18
464.0,0.046,0.0545,18
465.0,0.046,0.0545,18
466.0,0.046,0.0545,18
467.0,0.046,0.0545,18
468.0,0.046,0.0545,18
469.0,0.046,0.0545,18
470.0,0.046,0.0545,18
471.0,0.046,0.0545,18
472.0,0.046,0.0545,18
473.0,0.0455,0.0545,19
474.0,0.0455,0.0545,19
475.0,0.0455,0.0545,19
476.0,0.0455,0.0545,19
477.0,0.0455,0.0545,19
478.0,0.0455,0.0545,19
479.0,0.0455,0.0545,19
480.0,0.0455,0.0545,19
481.0,0.0455,0.0545,19
482.0,0.0455,0.0545,19
483.0,0.0455,0.0545,19
484.0,0.0455,0.0545,19
485.0,0.0455,0.0545,19
486.0,0.045,0.0545,20
487.0,0.045,0.0545,20
488.0,0.045,0.0545,20
