model,root,branch,E*,P*,tau*,u*,x*,g*,Z*,A(E*),residual_max,admissible,positive_growth,TVC,lambda_1,lambda_2,lambda_3,stability
linear,1,-,0.3571341719877207,0.6428658280122793,0.3402739467810474,0.5833300496126077,0.06916715922477551,0.11833431844955102,0.32143291400613966,0.32143291400613966,5.66669955594591e-17,True,True,True,1.0634805903403097,0.06916715922477172,-0.9943134311490548,saddle
nonlinear,1,upper,0.620047181084747,0.379952818915253,0.2386374100506793,0.48850528149722117,0.0833908744420835,0.14678174888416698,0.47117734862721194,0.47117734862721194,2.318231537782815e-17,True,True,True,1.6648611399217321,0.08339087444221714,-1.581470265488004,saddle
