varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
m,0.058744877746976475,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.058744877746976475,0.2349795109879059,0.5636097510698627,0.43639024893013734,0.7853255377772332,0.8861859498870613,0.023738774183607467,0.02747754836721493,0.05779410354830106,0.05779410354830111,5.551115123125783e-17,True,True,True,saddle,-0.37248477054950113,0.0,0.023738774183554814,0.0,0.3962235447375123,0.0,solution
m,0.06011322173087064,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.06011322173087064,0.24045288692348257,0.29430150521871123,0.7056984947812888,0.8351230430689627,0.9138506678166639,0.01958906649416708,0.01917813298833416,0.04242181009192927,0.042421810091929274,3.0141809246619976e-14,True,True,True,saddle,-0.28039321025337677,0.0,0.01958906649391824,0.0,0.29998227676044575,0.0,solution
m,0.06011322173087064,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.06011322173087064,0.24045288692348257,0.5636690136407596,0.4363309863592404,0.7811836976215601,0.8838459693982658,0.02408977125692678,0.028179542513853604,0.059138487452022985,0.05913848745202289,9.71445146547012e-17,True,True,True,saddle,-0.377225912371043,0.0,0.024089771257021303,0.0,0.40131568362520204,0.0,solution
m,0.06151343854061908,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.06151343854061908,0.24605375416247632,0.2936343299899774,0.7063656700100226,0.8316431098298093,0.9119446857292438,0.019874963807280096,0.01974992761456019,0.04345098122936474,0.04345098122936474,3.4915519337050815e-14,True,True,True,saddle,-0.28419378465077866,0.0,0.019874963807830635,0.0,0.3040687484569678,0.0,solution
m,0.06151343854061908,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.06151343854061908,0.24605375416247632,0.5637385716600462,0.43626142833995385,0.7769803264522123,0.8814648753366252,0.02444693536617289,0.02889387073234577,0.06051381920141535,0.06051381920141537,4.87920256586097e-16,True,True,True,saddle,-0.38204323991881894,0.0,0.02444693536600734,0.0,0.40649017528984044,0.0,solution
m,0.06294627058970836,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.06294627058970836,0.25178508235883346,0.29299976288379337,0.7070002371162066,0.8281082601142529,0.9100045385129971,0.0201659858897171,0.0203319717794342,0.04450302823250472,0.04450302823250472,4.0329391379294893e-14,True,True,True,saddle,-0.28804195598458915,0.0,0.020165985889687658,0.0,0.30820794186822253,0.0,solution
m,0.06294627058970836,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.06294627058970836,0.25178508235883346,0.5638184361365167,0.4361815638634833,0.7727152301713558,0.879042223201682,0.02481033318641437,0.02962066637282873,0.06192080212141846,0.06192080212141846,6.166057350106135e-17,True,True,True,saddle,-0.38693834304603963,0.0,0.02481033318646733,0.0,0.4117486762359908,0.0,solution
m,0.06441247758465671,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.06441247758465671,0.25764991033862683,0.29239758438685437,0.7076024156131456,0.8245181986886658,0.9080298446024039,0.020462189976306083,0.020924379952612166,0.04557842473453068,0.045578424734530686,4.662814106571202e-14,True,True,True,saddle,-0.29193836491136366,0.0,0.020462189976226168,0.0,0.3124005548909896,0.0,solution
m,0.06441247758465671,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.06441247758465671,0.25764991033862683,0.5639086207329507,0.43609137926704933,0.7683882457295402,0.8765775754201908,0.02518003035363803,0.030360060707276103,0.0633601550145642,0.06336015501456417,2.7755575615628914e-17,True,True,True,saddle,-0.39191285464401154,0.0,0.02518003035354749,0.0,0.41709288500103336,0.0,solution
m,0.06591283692782036,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.06591283692782036,0.26365134771128146,0.2918275814255753,0.7081724185744247,0.8208726515660664,0.9060202269078027,0.02076363263049626,0.021527265260992523,0.0466776531422762,0.0466776531422762,5.390360614876042e-14,True,True,True,saddle,-0.29588366922802006,0.0,0.02076363263026512,0.0,0.31664730186335954,0.0,solution
m,0.06591283692782036,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.06591283692782036,0.26365134771128146,0.5640091417448452,0.4359908582551548,0.7639992423558368,0.8740705019366783,0.02555609137616492,0.03111218275232983,0.06483261247569254,0.06483261247569257,2.7755575615628914e-17,True,True,True,saddle,-0.39696845168959666,0.0,0.025556091376194107,0.0,0.42252454306388665,0.0,solution
m,0.06744814412958265,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.06744814412958265,0.2697925765183306,0.2912895474370918,0.7087104525629082,0.8171713669630554,0.9039753132486834,0.021070369679364154,0.022140739358728307,0.04780120475060478,0.04780120475060478,6.177187144917554e-14,True,True,True,saddle,-0.2998785443692684,0.0,0.021070369679079593,0.0,0.3209489140582759,0.0,solution
m,0.06744814412958265,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.06744814412958265,0.2697925765183306,0.5641200180775731,0.43587998192242694,0.7595481227911559,0.8715205808190395,0.02593857954381072,0.03187715908762149,0.06633892521172367,0.06633892521172358,9.71445146547012e-17,True,True,True,saddle,-0.40210685687862247,0.0,0.025938579543887466,0.0,0.4280454364241594,0.0,solution
m,0.06901921323014425,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.06901921323014425,0.276076852920577,0.29078328242935647,0.7092167175706435,0.8134141162637433,0.9018947367978944,0.0213824561469825,0.022764912293965,0.048949579856391236,0.048949579856391236,7.111966968107798e-14,True,True,True,saddle,-0.3039236838948601,0.0,0.0213824561470624,0.0,0.32530614004458763,0.0,solution
m,0.06901921323014425,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.06901921323014425,0.276076852920577,0.5642412712219538,0.4357587287780462,0.7550348245223646,0.8689273988788503,0.026327556834839116,0.03265511366967825,0.0678798603664942,0.06787986036649418,4.977151214060105e-16,True,True,True,saddle,-0.4073298396851524,0.0,0.02632755683489668,0.0,0.4336573965209001,0.0,solution
m,0.07062687723113768,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.07062687723113768,0.28250750892455073,0.2903085930305934,0.7096914069694066,0.8096006949891137,0.8997781365365096,0.021699946186190224,0.023399892372380448,0.05012328787202165,0.05012328787202165,8.2100363708304e-14,True,True,True,saddle,-0.3080198000001305,0.0,0.021699946186523354,0.0,0.32971974618783023,0.0,solution
m,0.07062687723113768,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.07062687723113768,0.28250750892455073,0.5643729252282375,0.43562707477176255,0.7504593210146696,0.8662905523060203,0.026723083820763622,0.033446167641527254,0.06945620185066487,0.06945620185066484,2.7755575615628914e-17,True,True,True,saddle,-0.4126392181145574,0.0,0.026723083820703222,0.0,0.43936230193748815,0.0,solution
m,0.07227198853729636,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.07227198853729636,0.2890879541491854,0.2898652925283097,0.7101347074716903,0.8057309237701693,0.897625157719061,0.022022893008807512,0.02404578601761502,0.0513228474383303,0.0513228474383303,9.467598554527312e-14,True,True,True,saddle,-0.3121676241412496,0.0,0.022022893008899348,0.0,0.33419051715084774,0.0,solution
m,0.07227198853729636,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.07227198853729636,0.2890879541491854,0.5645150066785249,0.43548499332147506,0.7458216229396207,0.8636096473173633,0.027125219569062164,0.03425043913812433,0.07106875067669537,0.07106875067669534,2.7755575615628914e-17,True,True,True,saddle,-0.41803685982461297,0.0,0.027125219569231515,0.0,0.44516207938955477,0.0,solution
m,0.07395541940841034,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.07395541940841034,0.29582167763364137,0.289453200898102,0.710546799101898,0.801804649323116,0.895435452348809,0.022351348814345324,0.02470269762869065,0.05254878653688435,0.05254878653688435,1.0884422014407188e-13,True,True,True,saddle,-0.3163679075359185,0.0,0.02235134881413693,0.0,0.33871925635182293,0.0,solution
m,0.07395541940841034,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.07395541940841034,0.29582167763364137,0.5646675446575935,0.4353324553424065,0.7411217793959317,0.8608843008186011,0.02753402154387649,0.035068043087753,0.07271832529888421,0.07271832529888414,6.938893903907228e-17,True,True,True,saddle,-0.4235246840505347,0.0,0.027534021543829335,0.0,0.4510587055960103,0.0,solution
m,0.07567806242181038,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.07567806242181038,0.30271224968724153,0.28907214482246546,0.7109278551775345,0.7978217454247435,0.8932086796626775,0.02268536471726505,0.02537072943453009,0.05380164260152923,0.05380164260152923,1.248617220532709e-13,True,True,True,saddle,-0.32062142172232044,0.0,0.022685364717621392,0.0,0.3433067864418911,0.0,solution
