time,x,E,tau,u,distance_to_steady_state
0.0,0.06275836888160757,0.5,0.2962817984244462,0.5443177366432644,0.14962294785334923
0.014413069175950475,0.06282341085847681,0.49818603937049255,0.29687418676175426,0.5448616216634773,0.14771395196539228
0.02882613835190095,0.06288788216556554,0.496396904128213,0.2974631980328941,0.5454018683804577,0.14582968865083112
0.043239207527851424,0.0629517824398604,0.4946323138936232,0.2980488499288023,0.5459385037976369,0.14396988831118696
0.0576522767038019,0.06301511139456532,0.49289199142686824,0.29863116099386156,0.5464715555212929,0.1421342845322508
0.07206534587975237,0.06307786881809564,0.4911756626074615,0.29921015062037604,0.54700105175436,0.1403226140732281
0.08647841505570285,0.06314005457304471,0.48948305641403234,0.2997858390429009,0.5475270212901834,0.1385346168565383
0.10089148423165333,0.06320166859512419,0.4878139049041363,0.30035824733243544,0.5480494935062302,0.13677003595828324
0.1153045534076038,0.06326271089207888,0.4861679431941287,0.3009273973904874,0.5485684983577597,0.1350286175993997
0.12971762258355427,0.06332318154257735,0.4845449094391022,0.30149331194301754,0.5490840663714597,0.13331011113751096
0.14413069175950474,0.06338308069507911,0.48294454481288845,0.3020560145342728,0.5495962286390553,0.13161426905949242
0.15854376093545522,0.06344240856667971,0.48136659348812505,0.302615529520516,0.5501050168108959,0.1299408469747669
0.1729568301114057,0.06350116544193454,0.47981080261638787,0.3031718820636613,0.5506104630895251,0.12828960360934452
0.18736989928735617,0.06355935167166277,0.47827692230839014,0.30372509812482285,0.5511126002232419,0.12666030080062346
0.20178296846330665,0.06361696767173193,0.4767647056142485,0.30427520445778616,0.5516114614996557,0.12505270349296665
0.21619603763925713,0.06367401392182487,0.47527390850381634,0.3048222286024091,0.5521070807392431,0.12346657973406984
0.2306091068152076,0.06373049096418948,0.473804289847087,0.30536619887796196,0.5525994922889108,0.1219017006721377
0.24502217599115808,0.06378639940237288,0.4723556113946653,0.30590714437641425,0.5530887310155707,0.12035784055388205
0.25943524516710853,0.06384173989994069,0.4709276377583099,0.3064450949556761,0.5535748322997317,0.11883477672335871
0.273848314343059,0.06389651317918246,0.4695201363915471,0.306980081232803,0.554057832029115,0.11733228962165802
0.2882613835190095,0.06395072001980465,0.46813287757035627,0.307512134577171,0.5545377665922954,0.11585016278746368
0.30267445269495996,0.06400436125761176,0.4667656343739286,0.3080412871036309,0.5550146728723763,0.11438818285849471
0.31708752187091044,0.06405743778317703,0.46541818266549967,0.30856757166564863,0.5554885882407025,0.11294613957384494
0.3315005910468609,0.06410995054050338,0.4640903010732573,0.30909102184844045,0.5559595505506137,0.11152382577723406
0.3459136602228114,0.06416190052567587,0.46278177097132456,0.3096116719621088,0.5564275981312473,0.11012103742118218
0.36032672939876187,0.06421328878550671,0.4614923764608205,0.31012955703478795,0.5568927697813897,0.10873757357212252
0.37473979857471235,0.06426411641617338,0.4602219043509981,0.3106447128058056,0.5573551047633866,0.10737323641646143
0.3891528677506628,0.06431438456185151,0.4589701441404613,0.31115717571886814,0.5578146427971107,0.10602783126759802
0.4035659369266133,0.0643640944133429,0.4577368879984619,0.3116669829152766,0.558271424053996,0.10470116657391257
0.4179790061025638,0.06441324720669991,0.45652193074627745,0.31217417222717964,0.5587254891511391,0.10339305392773189
0.43239207527851425,0.06446184422184728,0.4553250698386705,0.31267878217087075,0.5591768791454729,0.10210330807527827
0.44680514445446473,0.06450988678120183,0.4541461053454313,0.31318085194013645,0.5596256355280166,0.10083174692760784
0.4612182136304152,0.06455737624829162,0.4529848399330039,0.31368042139966124,0.5600718002182052,0.09957819157254091
0.4756312828063657,0.06460431402637482,0.4518410788461976,0.3141775310784961,0.5605154155583021,0.09834246628758686
0.49004435198231616,0.06465070155705958,0.45071462988998356,0.3146722221635967,0.5609565243078974,0.09712439855386105
0.5044574211582666,0.06469654031892574,0.449605303411379,0.3151645364934367,0.5613951696384969,0.09592381907099196
0.5188704903342171,0.06474183182614886,0.44851291228141865,0.3156545165517024,0.5618313951282025,0.09474056177301104
0.5332835595101676,0.06478657762712783,0.4474372718772152,0.3161422054610745,0.5622652447564891,0.09357446384521667
0.547696628686118,0.06483077930311677,0.44637820006410933,0.3166276469771018,0.5626967628990786,0.09242536574199903
0.5621096978620685,0.06487443846686172,0.4453355171779103,0.31711088548217237,0.5631259943229155,0.09129311120560989
0.576522767038019,0.06491755676124325,0.4443090460072282,0.3175919659795879,0.5635529841812461,0.09017754728585628
0.5909358362139695,0.06496013585792552,0.4432986117758989,0.31807093408774473,0.5639777780088012,0.0890785243606941
0.6053489053899199,0.06500217745601268,0.44230404212550123,0.31854783603442793,0.564400421717089,0.08799589615768966
0.6197619745658705,0.06504368328071318,0.4413251670979695,0.3190227186512217,0.5648209615897959,0.08692951977631702
0.6341750437418209,0.06508465508201276,0.44036181911829997,0.319495629368041,0.5652394442782996,0.08587925571104783
0.6485881129177714,0.06512509463335679,0.43941383297735387,0.3199666162077886,0.5656559167972952,0.08484496787518855
0.6630011820937218,0.0651650037303426,0.4384810458147559,0.3204357277811419,0.5660704265205363,0.08382652362540997
0.6774142512696724,0.06520438418942247,0.4375632971018904,0.3209030132814718,0.5664830211766914,0.08282379378690982
0.6918273204456228,0.06524323784661779,0.4366604286249959,0.32136852247989994,0.5668937488453193,0.08183665267913966
0.7062403896215733,0.06528156655624519,0.4357722844683567,0.32183230572049476,0.5673026579529614,0.08086497814201868
0.7206534587975237,0.06531937218965501,0.43489871099759536,0.3222944139156124,0.5677097972693552,0.07990865156255121
0.7350665279734743,0.0653566566339828,0.4340395568430633,0.3227548985413833,0.5681152159037666,0.07896755790175149
0.7494795971494247,0.06539342179091427,0.4331946728833327,0.32321381163334884,0.5685189633014441,0.07804158572177311
0.7638926663253752,0.06542966957546441,0.43236391222878856,0.3236712057822504,0.5689210892401955,0.07713062721312713
0.7783057355013256,0.06546540191477103,0.4315471302053222,0.32412713412997324,0.5693216438270842,0.07623457822186445
0.7927188046772762,0.06550062074690342,0.4307441843381264,0.3245816503656475,0.5697206774952508,0.07535333827658447
0.8071318738532266,0.06553532801968645,0.4299549343355919,0.32503480872190915,0.5701182410008552,0.0744868106151208
0.8215449430291771,0.06556952568954065,0.42917924207330727,0.3254866639713219,0.5705143854201417,0.07363490221074333
0.8359580122051276,0.0656032157203386,0.4284169715781603,0.32593727142296325,0.5709091621466267,0.07279752379769995
0.8503710813810781,0.06563640008227821,0.42766798901254255,0.32638668691917505,0.5713026228884085,0.07197458989591084
0.8647841505570285,0.06566908075077302,0.4269321626586573,0.32683496683248126,0.5716948196655985,0.07116601883461234
0.879197219732979,0.06570125970536023,0.4262093629029296,0.32728216806267335,0.5720858048078744,0.07037173277473306
0.8936102889089295,0.06573293892862637,0.4254994622205204,0.32772834803406536,0.5724756309521527,0.06959165772977173
0.90802335808488,0.06576412040515159,0.42480233515994303,0.32817356469291903,0.5728643510403829,0.06882572358492917
0.9224364272608304,0.06579480612047217,0.4241178583277836,0.32861787650504004,0.5732520183174588,0.06807386411423445
0.9368494964367808,0.0658249980600621,0.42344591037352375,0.3290613424535464,0.5736386863292489,0.06733601699538813
0.9512625656127314,0.06585469820833385,0.4227863719744664,0.3295040220368096,0.5740244089207441,0.0666121238220314
0.9656756347886818,0.06588390854765853,0.42213912582076446,0.3299459752665681,0.5744092402343195,0.06590213011313699
0.9800887039646323,0.06591263105740582,0.4215040566005516,0.3303872626662143,0.5747932347081116,0.06520598531920106
0.9945017731405827,0.0659408677130038,0.42088105098517525,0.3308279452692555,0.5751764470745091,0.06452364282490426
1.0089148423165333,0.06596862048501909,0.4202699976145309,0.33126808461794705,0.5755589323587526,0.0638550599478966
1.0233279114924838,0.06599589133825744,0.4196707870824982,0.3317077427620996,0.5759407458776463,0.0632001979333503
