Pbar,mNL,n_points,E_roots,x_roots,tau_roots
335.0,0.0545,3,13.3806093700; 34.6794276336; 119.3460210194,0.0979769188; 0.1251889155; 0.1421102695,0.1530882890; 0.0440377252; 0.0094172755
335.0,0.055,3,14.2981385929; 30.9313651827; 123.3124784763,0.1005491684; 0.1228176046; 0.1424131825,0.1399632718; 0.0509226225; 0.0090294138
335.0,0.0555,3,15.6244859844; 27.0770832901; 126.9583302708,0.1037965830; 0.1198078645; 0.1426794141,0.1242331441; 0.0603809465; 0.0086952549
335.0,0.056,3,18.6346510576; 21.7817459825; 130.3438517242,0.1096444827; 0.1142263192; 0.1429170187,0.0982704793; 0.0800525820; 0.0084023476
336.0,0.052,3,10.7884507048; 63.1911761141; 88.1931444735,0.0886899182; 0.1350178794; 0.1390532261,0.2053705925; 0.0208297773; 0.0137881462
336.0,0.0525,3,11.1697233314; 53.8301692387; 98.4080645836,0.0902895224; 0.1327586458; 0.1402163938,0.1958189017; 0.0254041539; 0.0120271768
336.0,0.053,3,11.6010468318; 47.6343109238; 105.3873084121,0.0919883496; 0.1308708799; 0.1409089355,0.1859237642; 0.0295743384; 0.0110358263
336.0,0.0535,3,12.0975698505; 42.6748177128; 111.0450326310,0.0938126498; 0.1290381686; 0.1414210124,0.1755834418; 0.0339259512; 0.0103302210
336.0,0.054,3,12.6829841654; 38.3888957129; 115.9208433133,0.0958026109; 0.1271411038; 0.1418318426,0.1646414793; 0.0387448385; 0.0097809780
336.0,0.0545,3,13.3979087626; 34.4908718257; 120.2602813975,0.0980255792; 0.1250772749; 0.1421764881,0.1528345397; 0.0443506521; 0.0093317900
336.0,0.055,3,14.3228269912; 30.7639078506; 124.2001721602,0.1006117131; 0.1226974859; 0.1424739846,0.1396514588; 0.0512846775; 0.0089525433
336.0,0.0555,3,15.6669641647; 26.9134815754; 127.8262672174,0.1038899387; 0.1196611737; 0.1427359672,0.1237948007; 0.0608625117; 0.0086250839
336.0,0.056,3,18.8861830896; 21.4260820368; 131.1966543937,0.1100563829; 0.1137645177; 0.1429701276,0.0965563801; 0.0818041948; 0.0083375637
337.0,0.052,3,10.7948047544; 62.0789707677; 90.0322701896,0.0887147384; 0.1347756390; 0.1392739282,0.2052206467; 0.0212985374; 0.0134447712
337.0,0.0525,3,11.1771000465; 53.3002108393; 99.6660124214,0.0903168894; 0.1326083766; 0.1403425679,0.1956574644; 0.0257245031; 0.0118433867
337.0,0.053,3,11.6097638169; 47.2763580760; 106.4739656010,0.0920188995; 0.1307464009; 0.1410061266,0.1857481690; 0.0298604524; 0.0109001117
337.0,0.0535,3,12.1081154486; 42.4037930769; 112.0449525661,0.0938473267; 0.1289248596; 0.1415028965,0.1753897543; 0.0342047938; 0.0102195523
337.0,0.054,3,12.6961683583; 38.1702616848; 116.8677189410,0.0958429237; 0.1270319409; 0.1419039345,0.1644234536; 0.0390318654; 0.0096861450
337.0,0.0545,3,13.4152335379; 34.3058465429; 121.1713588106,0.0980742152; 0.1249667115; 0.1422416472,0.1525811274; 0.0446616515; 0.0092480528
337.0,0.055,3,14.3476368330; 30.5989792747; 125.0855859943,0.1006743974; 0.1225780931; 0.1425339146,0.1393392985; 0.0516458154; 0.0088770969
337.0,0.0555,3,15.7100550693; 26.7513155076; 128.6925235905,0.1039842329; 0.1195142800; 0.1427917781,0.1233528366; 0.0613466593; 0.0085561126
337.0,0.056,3,19.2289273700; 20.9808325595; 132.0481956316,0.1106034516; 0.1131681888; 0.1430225892,0.0943031015; 0.0840941145; 0.0082738155
338.0,0.052,3,10.8011386202; 61.0988527121; 91.7397136599,0.0887394595; 0.1345559763; 0.1394721449,0.2050713545; 0.0217281168; 0.0131400701
338.0,0.0525,3,11.1844564205; 52.7974436243; 100.8971714782,0.0903441553; 0.1324634477; 0.1404634960,0.1954966895; 0.0260353693; 0.0116685662
338.0,0.053,3,11.6184615823; 46.9308287354; 107.5485978115,0.0920493489; 0.1306247094; 0.1411006239,0.1855732336; 0.0301414906; 0.0107689639
338.0,0.0535,3,12.1186458383; 42.1400430548; 113.0379896961,0.0938819094; 0.1288134007; 0.1415830179,0.1751967000; 0.0344801967; 0.0101118426
338.0,0.054,3,12.7093483385; 37.9564377726; 117.8101626001,0.0958831611; 0.1269241450; 0.1419747282,0.1642059798; 0.0393163377; 0.0095934691
338.0,0.0545,3,13.4325843614; 34.1242208848; 122.0793818624,0.0981228287; 0.1248571892; 0.1423057811,0.1523280427; 0.0449707936; 0.0091660015
338.0,0.055,3,14.3725710321; 30.4364914599; 125.9688034398,0.1007372270; 0.1224593962; 0.1425929971,0.1390267656; 0.0520061046; 0.0088030300
338.0,0.0555,3,15.7537861183; 26.5904987453; 129.5571567019,0.1040795106; 0.1193671201; 0.1428468654,0.1229070661; 0.0618336077; 0.0084883070
339.0,0.052,3,10.8074524245; 60.2186836158; 93.3476114181,0.0887640820; 0.1343535501; 0.1396532167,0.2049227111; 0.0221277853; 0.0128647768
339.0,0.0525,3,11.1917925789; 52.3190405292; 102.1043670292,0.0903713209; 0.1323233438; 0.1405796927,0.1953365719; 0.0263376608; 0.0115018103
339.0,0.053,3,11.6271402608; 46.5968773941; 108.6120487664,0.0920796987; 0.1305056360; 0.1411925960,0.1853989528; 0.0304177568; 0.0106420827
339.0,0.0535,3,12.1291611776; 41.8831926174; 114.0245172508,0.0939163985; 0.1287037090; 0.1416614590,0.1750042735; 0.0347523111; 0.0100069448
339.0,0.054,3,12.7225243616; 37.7472212279; 118.7483751535,0.0959233241; 0.1268176662; 0.1420442726,0.1639890518; 0.0395983479; 0.0095028626
339.0,0.0545,3,13.4499619069; 33.9458710242; 122.9844720869,0.0981714214; 0.1247486739; 0.1423689224,0.1520752763; 0.0452781450; 0.0090855774
339.0,0.055,3,14.3976325860; 30.2763603479; 126.8499039490,0.1008002074; 0.1223413660; 0.1426512556,0.1387138343; 0.0523656119; 0.0087302999
339.0,0.0555,3,15.7981866411; 26.4309455123; 130.4202214005,0.1041758194; 0.1192196282; 0.1429012471,0.1224572909; 0.0623235863; 0.0084216344
340.0,0.052,3,10.8137462889; 59.4174449642; 94.8769801940,0.0887886068; 0.1341648560; 0.1398206475,0.2047747117; 0.0225036215; 0.0126128161
340.0,0.0525,3,11.1991086463; 51.8626187872; 103.2899800648,0.0903983869; 0.1321876290; 0.1406915930,0.1951771068; 0.0266321460; 0.0113423546
340.0,0.053,3,11.6357999840; 46.2737459317; 109.6650748137,0.0921099495; 0.1303890280; 0.1412821949,0.1852253217; 0.0306895242; 0.0105191987
340.0,0.0535,3,12.1396616235; 41.6328959355; 115.0048792731,0.0939507949; 0.1285957078; 0.1417382957,0.1748124697; 0.0350212769; 0.0099047227
340.0,0.054,3,12.7356966834; 37.5424220669; 119.6825447109,0.0959634136; 0.1267124579; 0.1421126133,0.1637726634; 0.0398779831; 0.0094142431
340.0,0.0545,3,13.4673668567; 33.7706796928; 123.8867444633,0.0982199950; 0.1246411329; 0.1424311020,0.1518228191; 0.0455837696; 0.0090067246
340.0,0.055,3,14.4228245799; 30.1185055602; 127.7289632186,0.1008633445; 0.1222239741; 0.1427087125,0.1384004786; 0.0527244030; 0.0086588660
340.0,0.0555,3,15.8432880660; 26.2725702700; 131.2817702105,0.1042732107; 0.1190717358; 0.1429549405,0.1220032991; 0.0628168368; 0.0083560638
341.0,0.0515,3,10.4744568135; 75.7080463022; 78.3936507960,0.0872839514; 0.1372886308; 0.1377013608,0.2139538304; 0.0166892567; 0.0159859034
341.0,0.052,3,10.8200203337; 58.6805063517; 96.3424486215,0.0888130344; 0.1339874464; 0.1399768840,0.2046273516; 0.0228598681; 0.0123799487
341.0,0.0525,3,11.2064047461; 51.4261484823; 104.4560387377,0.0904253539; 0.1320559307; 0.1407995690,0.1950182894; 0.0269194811; 0.0111895461
341.0,0.053,3,11.6444408827; 45.9607516023; 110.7083569403,0.0921401020; 0.1302747475; 0.1413695578,0.1850523353; 0.0309570398; 0.0104000684
341.0,0.0535,3,12.1501473323; 41.3888333409; 115.9793936575,0.0939850994; 0.1284893258; 0.1418135984,0.1746212834; 0.0352872239; 0.0098050505
341.0,0.054,3,12.7488655600; 37.3418619955; 120.6128477040,0.0960034307; 0.1266084760; 0.1421797936,0.1635568088; 0.0401553256; 0.0093275329
341.0,0.0545,3,13.4847999013; 33.5985357131; 124.7863078823,0.0982685512; 0.1245345350; 0.1424923491,0.1515706616; 0.0458877282; 0.0089293901
341.0,0.055,3,14.4481501900; 29.9628501614; 128.6060534225,0.1009266442; 0.1221071933; 0.1427653894,0.1380866713; 0.0530825423; 0.0085886894
341.0,0.0555,3,15.8891241347; 26.1152873746; 132.1418534594,0.1043717392; 0.1189233715; 0.1430079621,0.1215448640; 0.0633136147; 0.0082915649
342.0,0.0515,3,10.4799103812; 71.0294684650; 83.7998419780,0.0873062026; 0.1365071190; 0.1384638787,0.2138166214; 0.0180625494; 0.0147262885
342.0,0.052,3,10.8262746781; 57.9972038859; 97.7546788344,0.0888373656; 0.1338195314; 0.1401237155,0.2044806261; 0.0231996263; 0.0121630770
342.0,0.0525,3,11.2136810006; 51.0078839209; 105.6042869912,0.0904522227; 0.1319279273; 0.1409039417,0.1948601148; 0.0272002322; 0.0110428222
342.0,0.053,3,11.6530630862; 45.6572770576; 111.7425107481,0.0921701571; 0.1301626695; 0.1414548092,0.1848799888; 0.0312205274; 0.0102844715
342.0,0.0535,3,12.1606184593; 41.1507086805; 116.9483547963,0.0940193127; 0.1283844967; 0.1418874328,0.1744307094; 0.0355502727; 0.0097078113
342.0,0.054,3,12.7620312477; 37.1453734452; 121.5394498498,0.0960433762; 0.1265056788; 0.1422458541,0.1633414819; 0.0404304527; 0.0092426594
342.0,0.0545,3,13.5022617405; 33.4293335722; 125.6832655731,0.0983170919; 0.1244288507; 0.1425526918,0.1513187946; 0.0461900790; 0.0088535238
342.0,0.055,3,14.4736126883; 29.8093204395; 129.4812434273,0.1009901127; 0.1219909966; 0.1428213068,0.1377723851; 0.0534400930; 0.0085197329
342.0,0.0555,3,15.9357311449; 25.9590107144; 133.0005193977,0.1044714639; 0.1187744604; 0.1430603279,0.1210817421; 0.0638141908; 0.0082281091
343.0,0.0515,3,10.4853450839; 68.8324969971; 86.7248250473,0.0873283609; 0.1361093098; 0.1388427800,0.2136800287; 0.0187824410; 0.0141195971
343.0,0.052,3,10.8325094404; 57.3594840064; 99.1217226472,0.0888616010; 0.1336597548; 0.1402624976,0.2043345304; 0.0235252442; 0.0119598561
343.0,0.0525,3,11.2209375311; 50.6063112328; 106.7362369580,0.0904789940; 0.1318033389; 0.1410049901,0.1947025785; 0.0274748919; 0.0109016939
343.0,0.053,3,11.6616667233; 45.3627620000; 112.7680948010,0.0922001153; 0.1300526797; 0.1415380623,0.1847082774; 0.0314801912; 0.0101722075
343.0,0.0535,3,12.1710751588; 40.9182470027; 117.9120358924,0.0940534356; 0.1282811588; 0.1419598598,0.1742407426; 0.0358105360; 0.0096128963
343.0,0.054,3,12.7751940031; 36.9527987103; 122.4625070142,0.0960832512; 0.1264040271; 0.1423108331,0.1631266767; 0.0407034379; 0.0091595537
343.0,0.0545,3,13.5197530827; 33.2629730330; 126.5777154914,0.0983656187; 0.1243240515; 0.1426121568,0.1510672086; 0.0464908781; 0.0087790777
343.0,0.055,3,14.4992154460; 29.6578457031; 130.3545989906,0.1010537562; 0.1218753582; 0.1428764845,0.1374575918; 0.0537971175; 0.0084519611
343.0,0.0555,3,15.9831482274; 25.8036533217; 133.8578143106,0.1045724481; 0.1186249239; 0.1431120533,0.1206136717; 0.0643188531; 0.0081656686
344.0,0.0515,3,10.4907610363; 67.2070003278; 89.0787298326,0.0873504271; 0.1358008522; 0.1391324150,0.2135440477; 0.0193503206; 0.0136644436
344.0,0.052,3,10.8387247378; 56.7610904891; 100.4498345512,0.0888857412; 0.1335070594; 0.1403942868,0.2041890601; 0.0238385515; 0.0117684598
344.0,0.0525,3,11.2281744578; 50.2201077473; 107.8532095840,0.0905056683; 0.1316819200; 0.1411029592,0.1945456757; 0.0277438919; 0.0107657329
344.0,0.053,3,11.6702519212; 45.0766961523; 113.7856176552,0.0922299774; 0.1299446739; 0.1416194209,0.1845371963; 0.0317362176; 0.0100630936
344.0,0.0535,3,12.1815175843; 40.6911925266; 118.8706909904,0.0940874688; 0.1281792542; 0.1420309365,0.1740513781; 0.0360681187; 0.0095202043
344.0,0.054,3,12.7883540834; 36.7639891695; 123.3821659893,0.0961230566; 0.1263034835; 0.1423747669,0.1629123875; 0.0409743506; 0.0090781510
344.0,0.0545,3,13.5372746462; 33.0993587778; 127.4697506756,0.0984141335; 0.1242201102; 0.1426707692,0.1508158943; 0.0467901788; 0.0087060064
344.0,0.055,3,14.5249619387; 29.5083580928; 131.2261829453,0.1011175811; 0.1217602526; 0.1429309414,0.1371422625; 0.0541536773; 0.0083853399
344.0,0.0555,3,16.0314176616; 25.6491269525; 134.7137826215,0.1046747602; 0.1184746786; 0.1431631531,0.1201403708; 0.0648279090; 0.0081042169
345.0,0.0515,3,10.4961583519; 65.8799640701; 91.1345689920,0.0873724016; 0.1355394945; 0.1393750349,0.2134086740; 0.0198381069; 0.0132889124
345.0,0.052,3,10.8449206865; 56.1970503509; 101.7439858087,0.0889097870; 0.1333606021; 0.1405199256,0.2040442106; 0.0241410066; 0.0115874332
345.0,0.0525,3,11.2353919001; 49.8481100665; 108.9563665547,0.0905322464; 0.1315634539; 0.1411980649,0.1943894017; 0.0280076129; 0.0106345618
345.0,0.053,3,11.6788188066; 44.7986132990; 114.7955438177,0.0922597442; 0.1298385566; 0.1416989797,0.1843667408; 0.0319887773; 0.0099569623
345.0,0.0535,3,12.1919458886; 40.4693068544; 119.8245567642,0.0941214131; 0.1280787290; 0.1421007161,0.1738626108; 0.0363231191; 0.0094296408
345.0,0.054,3,12.8015117458; 36.5788045858; 124.2985651940,0.0961627934; 0.1262040129; 0.1424376900,0.1626986083; 0.0412432567; 0.0089983901
345.0,0.0545,3,13.5548271584; 32.9384000826; 128.3594595715,0.0984626380; 0.1241170010; 0.1427285535,0.1505648423; 0.0470880328; 0.0086342666
345.0,0.055,3,14.5508557507; 29.3607924060; 132.0960553697,0.1011815942; 0.1216456551; 0.1429846958,0.1368263676; 0.0545098333; 0.0083198367
345.0,0.0555,3,16.0805852385; 25.4953416271; 135.5684669894,0.1047784741; 0.1183236364; 0.1432136416,0.1196615345; 0.0653416876; 0.0080437282
346.0,0.0515,3,10.5015371432; 64.7438415012; 92.9998875314,0.0873942853; 0.1353085368; 0.1395873388,0.2132739031; 0.0202742095; 0.0129645973
346.0,0.052,3,10.8510974017; 55.6633344551; 103.0082038486,0.0889337390; 0.1332196973; 0.1406400988,0.2038999772; 0.0244337943; 0.0114155945
346.0,0.0525,3,11.2425899760; 49.4892886651; 110.0467356953,0.0905587290; 0.1314477483; 0.1412904991,0.1942337521; 0.0282663932; 0.0105078458
346.0,0.053,3,11.6873675048; 44.5280862064; 115.7982988257,0.0922894161; 0.1297342397; 0.1417768263,0.1841969061; 0.0322380277; 0.0098536598
346.0,0.0535,3,12.2023602235; 40.2523673896; 120.7738540982,0.0941552693; 0.1279795326; 0.1421692484,0.1736744357; 0.0365756293; 0.0093411172
346.0,0.054,3,12.8146672483; 36.3971124729; 125.2118353073,0.0962024624; 0.1261055817; 0.1424996347,0.1624853333; 0.0415102185; 0.0089202130
346.0,0.0545,3,13.5724113571; 32.7800105180; 129.2469263319,0.0985111341; 0.1240146987; 0.1427855327,0.1503140431; 0.0473844894; 0.0085638168
346.0,0.055,3,14.5769005804; 29.2150859339; 132.9642737453,0.1012458021; 0.1215315414; 0.1430377651,0.1365098769; 0.0548656458; 0.0082554204
346.0,0.0555,3,16.1307006780; 25.3422051212; 136.4219084001,0.1048836701; 0.1181717033; 0.1432635326,0.1191768327; 0.0658605424; 0.0079841779
347.0,0.0515,3,10.5068975217; 63.7431036494; 94.7302127183,0.0874160787; 0.1350993286; 0.1397779767,0.2131397306; 0.0206733365; 0.0126767933
347.0,0.052,3,10.8572549974; 55.1566253447; 104.2458044321,0.0889575978; 0.1330837789; 0.1407553722,0.2037563557; 0.0247178932; 0.0112519685
347.0,0.0525,3,11.2497688027; 49.1427274587; 111.1252314027,0.0905851167; 0.1313346311; 0.1413804329,0.1940787223; 0.0285205344; 0.0103852864
347.0,0.053,3,11.6958981403; 44.2647222688; 116.7942736009,0.0923189940; 0.1296316420; 0.1418530410,0.1840276876; 0.0324841137; 0.0097530447
347.0,0.0535,3,12.2127607400; 40.0401659358; 121.7187894888,0.0941890380; 0.1278816175; 0.1422365803,0.1734868481; 0.0368257359; 0.0092545508
347.0,0.054,3,12.8278208491; 36.2187875212; 126.1220998417,0.0962420647; 0.1260081580; 0.1425606321,0.1622725567; 0.0417752957; 0.0088435649
347.0,0.0545,3,13.5900279898; 32.6241076744; 130.1322310904,0.0985596235; 0.1239131795; 0.1428417290,0.1500634872; 0.0476795964; 0.0084946178
347.0,0.055,3,14.6031002452; 29.0711783092; 133.8308931037,0.1013102119; 0.1214178876; 0.1430901661,0.1361927592; 0.0552211745; 0.0081920608
347.0,0.0555,3,16.1818181120; 25.1896223976; 137.2741462505,0.1049904352; 0.1180187789; 0.1433128394,0.1186859068; 0.0663848545; 0.0079255424
348.0,0.0515,3,10.5122395981; 62.8446584989; 96.3586348768,0.0874377824; 0.1349066981; 0.1399521197,0.2130061521; 0.0210442769; 0.0124167147
348.0,0.052,3,10.8633935870; 54.6741536154; 105.4595552802,0.0889813641; 0.1329523722; 0.1408662195,0.2036133416; 0.0249941227; 0.0110957391
348.0,0.0525,3,11.2569284964; 48.8076072024; 112.1926712462,0.0906114101; 0.1312239482; 0.1414680200,0.1939243077; 0.0287703076; 0.0102666161
348.0,0.053,3,11.7044108365; 44.0081597575; 117.7838281999,0.0923484786; 0.1295306885; 0.1419276982,0.1838590808; 0.0327271693; 0.0096549863
348.0,0.0535,3,12.2231475884; 39.8325074493; 122.6595562914,0.0942227201; 0.1277849388; 0.1423027558,0.1732998430; 0.0370735202; 0.0091698637
348.0,0.054,3,12.8409728071; 36.0437110778; 127.0294756641,0.0962816011; 0.1259117117; 0.1426207115,0.1620602729; 0.0420385446; 0.0087683937
348.0,0.0545,3,13.6076778151; 32.4706129085; 131.0154502147,0.0986081082; 0.1238124205; 0.1428971635,0.1498131651; 0.0479733996; 0.0084266319
348.0,0.055,3,14.6294586877; 28.9290113643; 134.6959661632,0.1013748309; 0.1213046705; 0.1431419149,0.1358749825; 0.0555764789; 0.0081297293
348.0,0.0555,3,16.2339966469; 25.0374949645; 138.1252184290,0.1050988644; 0.1178647555; 0.1433615748,0.1181883660; 0.0669150362; 0.0078677986
349.0,0.0515,3,10.5175634820; 62.0269131195; 97.9067452571,0.0874593970; 0.1347272598; 0.1401131529,0.2128731634; 0.0213927811; 0.0121786142
349.0,0.052,3,10.8695132827; 54.2135796242; 106.6517943645,0.0890050384; 0.1328250752; 0.1409730424,0.2034709304; 0.0252631770; 0.0109462153
349.0,0.0525,3,11.2640691723; 48.4831918795; 113.2497895791,0.0906376099; 0.1311155605; 0.1415533989,0.1937705040; 0.0290159568; 0.0101515939
349.0,0.053,3,11.7129057159; 43.7580645740; 118.7672950611,0.0923778704; 0.1294313096; 0.1420008669,0.1836910811; 0.0329673188; 0.0095593637
349.0,0.0535,3,12.2335209180; 39.6292089275; 123.5963358322,0.0942563161; 0.1276894545; 0.1423678164,0.1731134157; 0.0373190589; 0.0090869831
349.0,0.054,3,12.8541233815; 35.8717706722; 127.9340734686,0.0963210727; 0.1258162140; 0.1426799006,0.1618484760; 0.0423000191; 0.0086946500
349.0,0.0545,3,13.6253616018; 32.3194511107; 131.8966565387,0.0986565899; 0.1237123995; 0.1429518564,0.1495630672; 0.0482659433; 0.0083598231
349.0,0.055,3,14.6559799811; 28.7885289978; 135.5595434549,0.1014396663; 0.1211918670; 0.1431930271,0.1355565140; 0.0559316182; 0.0080683984
349.0,0.0555,3,16.2873010196; 24.8857201442; 138.9751613896,0.1052090615; 0.1177095166; 0.1434097513,0.1176837833; 0.0674515352; 0.0078109247
350.0,0.0515,3,10.5228692821; 61.2748616969; 99.3895480058,0.0874809232; 0.1345586530; 0.1402634361,0.2127407602; 0.0217228563; 0.0119584877
350.0,0.052,3,10.8756141955; 53.7729060760; 107.8245173207,0.0890286215; 0.1327015433; 0.1410761847,0.2033291179; 0.0255256506; 0.0108028057
350.0,0.0525,3,11.2711909446; 48.1688174467; 114.2972487931,0.0906637167; 0.1310093419; 0.1416366949,0.1936173067; 0.0292577029; 0.0100400023
350.0,0.053,3,11.7213829001; 43.5141274276; 119.7449818269,0.0924071702; 0.1293334406; 0.1420726112,0.1835236840; 0.0332046775; 0.0094660647
350.0,0.0535,3,12.2438808774; 39.4300984130; 124.5292984034,0.0942898270; 0.1275951248; 0.1424318010,0.1729275613; 0.0375624243; 0.0090058400
350.0,0.054,3,12.8672728323; 35.7028595853; 128.8359982084,0.0963604804; 0.1257216373; 0.1427382261,0.1616371603; 0.0425597707; 0.0086222869
350.0,0.0545,3,13.6430801302; 32.1705504895; 132.7759195777,0.0987050704; 0.1236130953; 0.1430058272,0.1493131839; 0.0485572703; 0.0082941571
350.0,0.055,3,14.6826683360; 28.6496770503; 136.4216734420,0.1015047260; 0.1210794547; 0.1432435176,0.1352373199; 0.0562866515; 0.0080080413
350.0,0.0555,3,16.3418023699; 24.7341902305; 139.8240102225,0.1053211407; 0.1175529363; 0.1434573809,0.1171716905; 0.0679948400; 0.0077548992
351.0,0.051,3,10.2093312261; 74.6530132817; 85.7513577694,0.0860253385; 0.1370874943; 0.1386901163,0.2217865442; 0.0170375107; 0.0143625050
351.0,0.0515,3,10.5281571060; 60.5775799970; 100.8179657012,0.0875023615; 0.1343991539; 0.1404046927,0.2126089382; 0.0220374278; 0.0117534132
351.0,0.052,3,10.8816964360; 53.3504121807; 108.9794432913,0.0890521139; 0.1325814785; 0.1411759438,0.2031878998; 0.0257820572; 0.0106649998
351.0,0.0525,3,11.2782939266; 47.8638824577; 115.3356486946,0.0906897312; 0.1309051779; 0.1417180220,0.1934647116; 0.0294957469; 0.0099316434
351.0,0.053,3,11.7298425095; 43.2760613709; 120.7171738082,0.0924363785; 0.1292370213; 0.1421429906,0.1833568851; 0.0334393531; 0.0093749852
351.0,0.0535,3,12.2542276147; 39.2350141018; 125.4586041558,0.0943232533; 0.1275019121; 0.1424947466,0.1727422751; 0.0378036848; 0.0089263697
351.0,0.054,3,12.8804214198; 35.5368764555; 129.7353494893,0.0963998250; 0.1256279555; 0.1427957133,0.1614263203; 0.0428178485; 0.0085512599
351.0,0.0545,3,13.6608341919; 32.0238423726; 133.6533057273,0.0987535518; 0.1235144873; 0.1430590946,0.1490635055; 0.0488474220; 0.0082296008
351.0,0.055,3,14.7095281069; 28.5124031870; 137.2824026290,0.1015700177; 0.1209674111; 0.1432934009,0.1349173656; 0.0566416377; 0.0079486327
351.0,0.0555,3,16.3975791527; 24.5827915109; 140.6717987197,0.1054352273; 0.1173948776; 0.1435044751,0.1166515722; 0.0685454850; 0.0076997017
352.0,0.051,3,10.2139674715; 72.1346241737; 88.9997739117,0.0860449799; 0.1366664507; 0.1390947166,0.2216632284; 0.0177781618; 0.0137232635
352.0,0.0515,3,10.5334270606; 59.9268255960; 102.2002391230,0.0875237126; 0.1342474573; 0.1405382274,0.2124776933; 0.0223387089; 0.0115611802
352.0,0.052,3,10.8877601133; 52.9446032162; 110.1180653627,0.0890755162; 0.1324646213; 0.1412725788,0.2030472718; 0.0260328445; 0.0105323530
352.0,0.0525,3,11.2853782304; 47.5678401950; 116.3655343732,0.0907156540; 0.1308029640; 0.1417974840,0.1933127142; 0.0297302719; 0.0098263374
352.0,0.053,3,11.7382846638; 43.0435996399; 121.6841361440,0.0924654961; 0.1291419954; 0.1422120607,0.1831906798; 0.0336714458; 0.0092860281
352.0,0.0535,3,12.2645612768; 39.0438035402; 126.3844039007,0.0943565958; 0.1274097810; 0.1425566879,0.1725575525; 0.0380429049; 0.0088485111
352.0,0.054,3,12.8935694053; 35.3737249181; 130.6322219298,0.0964391075; 0.1255351435; 0.1428523862,0.1612159504; 0.0430742992; 0.0084815264
352.0,0.0545,3,13.6786245904; 31.8792610223; 134.5288784464,0.0988020358; 0.1234165559; 0.1431116762,0.1488140224; 0.0491364384; 0.0081661229
352.0,0.055,3,14.7365637996; 28.3766567875; 138.1417756656,0.1016355496; 0.1208557143; 0.1433426909,0.1345966152; 0.0569966360; 0.0078901480
352.0,0.0555,3,16.4547182241; 24.4314031181; 141.5185594367,0.1055514602; 0.1172351905; 0.1435510451,0.1161228591; 0.0691040583; 0.0076453124
353.0,0.051,3,10.2185868801; 70.3626518159; 91.5021564921,0.0860645380; 0.1363549740; 0.1393898265,0.2215404700; 0.0183362159; 0.0132661869
353.0,0.0515,3,10.5386792517; 59.3162003261; 103.5427648066,0.0875449770; 0.1341025468; 0.1406650558,0.2123470213; 0.0226284226; 0.0113800689
353.0,0.052,3,10.8938053359; 52.5541713121; 111.2416897811,0.0890988291; 0.1323507434; 0.1413663170,0.2029072297; 0.0262784055; 0.0104044755
353.0,0.0525,3,11.2924439675; 47.2801920248; 117.3874028459,0.0907414857; 0.1307026045; 0.1418751761,0.1931613103; 0.0299614456; 0.0097239197
353.0,0.053,3,11.7467094817; 42.8164937539; 122.6461157014,0.0924945236; 0.1290483102; 0.1422798736,0.1830250640; 0.0339010494; 0.0091991029
353.0,0.0535,3,12.2748820101; 38.8563229017; 127.3068398337,0.0943898552; 0.1273186977; 0.1426176580,0.1723733889; 0.0382801460; 0.0087722064
353.0,0.054,3,12.9067170505; 35.2133132761; 131.5267054908,0.0964783289; 0.1254431775; 0.1429082680,0.1610060448; 0.0433291678; 0.0084130460
353.0,0.0545,3,13.6964521412; 31.7367434653; 135.4026984282,0.0988505244; 0.1233192821; 0.1431635894,0.1485647248; 0.0494243582; 0.0081036931
353.0,0.055,3,14.7637800785; 28.2423888420; 138.9998354423,0.1017013301; 0.1207443425; 0.1433914009,0.1342750321; 0.0573517055; 0.0078325636
353.0,0.0555,3,16.5133161425; 24.2798956708; 142.3643237513,0.1056699934; 0.1170737101; 0.1435971019,0.1155849195; 0.0696712094; 0.0075917121
354.0,0.051,3,10.2231895540; 68.9435441860; 93.6520559043,0.0860840132; 0.1360957768; 0.1396327330,0.2214182652; 0.0188071782; 0.0128957732
354.0,0.0515,3,10.5439137844; 58.7406214400; 104.8506238786,0.0875661554; 0.1339636122; 0.1407859876,0.2122169182; 0.0229079415; 0.0112087097
354.0,0.052,3,10.8998322113; 52.1779645489; 112.3514668534,0.0891220532; 0.1322396435; 0.1414573596,0.2027677694; 0.0265190872; 0.0102810232
354.0,0.0525,3,11.2994912483; 47.0004817505; 118.4017087043,0.0907672269; 0.1306040116; 0.1419511855,0.1930104958; 0.0301894218; 0.0096242394
354.0,0.053,3,11.7551170810; 42.5945118381; 123.6033427531,0.0925234617; 0.1289559167; 0.1423464778,0.1828600331; 0.0341282518; 0.0091141249
354.0,0.0535,3,12.2851899603; 38.6724363335; 128.2260461878,0.0944230321; 0.1272286303; 0.1426776881,0.1721897795; 0.0385154661; 0.0086974010
354.0,0.054,3,12.9198646178; 35.0555541964; 132.4188857784,0.0965174900; 0.1253520345; 0.1429633804,0.1607965981; 0.0435824973; 0.0083457802
354.0,0.0545,3,13.7143176722; 31.5962293343; 136.2748237579,0.0988990195; 0.1232226473; 0.1432148505,0.1483156028; 0.0497112192; 0.0080422825
354.0,0.055,3,14.7911817750; 28.1095518526; 139.8566231808,0.1017673679; 0.1206332741; 0.1434395439,0.1339525781; 0.0577069058; 0.0077758567
