model,E0_target,n_success,x0_spread,tau0_spread,u0_spread
linear,0.25,3,4.483913240704851e-14,1.2045919817182948e-13,9.536815781530095e-14
linear,0.5,3,3.60961260881254e-14,8.210099267103033e-14,7.616129948928574e-14
linear,0.75,3,3.0142555118573e-14,6.081246617384295e-14,6.23945339839338e-14
nonlinear,0.25,3,1.7111312367035225e-14,2.2648549702353193e-14,1.27675647831893e-14
nonlinear,0.5,3,1.5737411374061594e-14,1.7430501486614958e-14,1.532107773982716e-14
nonlinear,0.75,3,1.4210854715202004e-14,1.326716514427062e-14,1.5654144647214707e-14
