varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
delta,0.0016649999999999998,False,nonlinear,True,1,1,upper,0.45,0.0016649999999999998,1.5,1.0,0.5,2.0,0.6143490087462353,0.3856509912537647,0.23725939007496583,0.48709279411110756,0.07804608088333387,0.1527621617666677,0.47384860839750675,0.4738486083975068,7.902325130092453e-17,True,True,True,saddle,-1.5717692744214093,0.0,0.07804608088299321,0.0,1.6498153553097965,0.0,solution
delta,0.0017599999999999998,False,linear,True,1,1,-,0.45,0.0017599999999999998,1.5,1.0,0.5,2.0,0.3423063941321751,0.6576936058678249,0.33382660407366277,0.5777772962601272,0.06450673889431426,0.1254934777886285,0.32884680293391244,0.32884680293391244,3.2429423431563067e-17,True,True,True,saddle,-1.0134250180790703,0.0,0.06450673889317472,0.0,1.0779317569872042,0.0,solution
delta,0.0017599999999999998,False,nonlinear,True,1,1,upper,0.45,0.0017599999999999998,1.5,1.0,0.5,2.0,0.6144151132209917,0.38558488677900826,0.23727492548395726,0.48710874092337664,0.07810702219482683,0.15269404438965367,0.4738183637332553,0.4738183637332553,1.646425533990673e-17,True,True,True,saddle,-1.5718817240210239,0.0,0.07810702219542119,0.0,1.6499887461950031,0.0,solution
delta,0.0018549999999999999,False,linear,True,1,1,-,0.45,0.0018549999999999999,1.5,1.0,0.5,2.0,0.3424813456708401,0.6575186543291599,0.3339016038279373,0.5778421963027079,0.06456033722126048,0.12541067444252096,0.32875932716457995,0.32875932716457995,5.560578727935649e-17,True,True,True,saddle,-1.0131919853295233,0.0,0.06456033722191865,0.0,1.0777523225070034,0.0,solution
delta,0.0018549999999999999,False,nonlinear,True,1,1,upper,0.45,0.0018549999999999999,1.5,1.0,0.5,2.0,0.614481190471471,0.385518809528529,0.23729046499396045,0.4871246914230077,0.0781679629532155,0.15262592590643106,0.47378811405646964,0.4737881140564696,4.1821947369448353e-16,True,True,True,saddle,-1.5719941293687703,0.0,0.07816796295280079,0.0,1.650162092325262,0.0,solution
delta,0.00195,False,linear,True,1,1,-,0.45,0.00195,1.5,1.0,0.5,2.0,0.3426562016526943,0.6573437983473057,0.3339765878751468,0.577907075467282,0.0646139386799077,0.1253278773598154,0.32867189917365286,0.32867189917365286,4.6348562193091857e-17,True,True,True,saddle,-1.0129592659204183,0.0,0.06461393868019669,0.0,1.0775732045637558,0.0,solution
delta,0.00195,False,nonlinear,True,1,1,upper,0.45,0.00195,1.5,1.0,0.5,2.0,0.6145472405160912,0.3854527594839088,0.23730600859917905,0.48714064560368914,0.07822890315944662,0.1525578063188933,0.4737578593802975,0.4737578593802975,2.9639541895729196e-17,True,True,True,saddle,-1.572106490599796,0.0,0.07822890315918986,0.0,1.6503353937586134,0.0,solution
delta,0.002045,False,linear,True,1,1,-,0.45,0.002045,1.5,1.0,0.5,2.0,0.3428309621591077,0.6571690378408923,0.33405155622013893,0.5779719337650738,0.06466754326857226,0.12524508653714453,0.32858451892044616,0.32858451892044616,3.245127629865303e-17,True,True,True,saddle,-1.0127268591881766,0.0,0.06466754326892074,0.0,1.0773944024777904,0.0,solution
delta,0.002045,False,nonlinear,True,1,1,upper,0.45,0.002045,1.5,1.0,0.5,2.0,0.6146132633732514,0.3853867366267486,0.23732155629382432,0.487156603459118,0.07828984281446565,0.1524896856289313,0.4737275997178673,0.47372759971786743,1.1102230246251565e-16,True,True,True,saddle,-1.5722188077232677,0.0,0.0782898428147306,0.0,1.650508650512874,0.0,solution
delta,0.00214,False,linear,True,1,1,-,0.45,0.00214,1.5,1.0,0.5,2.0,0.34300562727135386,0.6569943727286461,0.334126508867759,0.5780367712072987,0.06472115098557187,0.12516230197114372,0.32849718636432307,0.32849718636432307,4.636936791032595e-18,True,True,True,saddle,-1.0124947646819888,0.0,0.06472115098692838,0.0,1.0772159156361996,0.0,solution
